reaction_id	reaction_name	stoichiometric_equation	reversible	compartment	pathway_branch	assignment_type	gene_reaction_rule	best_gene	best_locus	enzyme_family	EC_number	KEGG_ID	BioCyc_ID	transcript_log2FC_AD	transcript_padj_AD	proteomics_status	omics_support	biopax_source	balance_status	notes
rxn09295_c0	NAD(P) transhydrogenase (periplasm)	cpd00004_c0 + cpd00006_c0 + 2.0 cpd00067_e0 --> cpd00003_c0 + cpd00005_c0 + 2.0 cpd00067_c0	False	c0,e0	generic_metabolism	KNOWN_LC6_GENE	(contig_1_1090099_1088618 and contig_1_1091637_1090114) or contig_1_4602465_4601041	contig_1_1090099_1088618	contig_1_1090099_1088618	contig_locus_assignment	7.1.1.1; 1.6.1.5		rxn09295				no_support		balanced	
rxn09304_c0	TRANS-RXN-244.cp	cpd00067_e0 + cpd00161_c0 --> cpd00067_c0 + cpd00161_e0	False	c0,e0	generic_metabolism	KNOWN_LC6_GENE	contig_1_4136460_4135195	contig_1_4136460_4135195	contig_1_4136460_4135195	contig_locus_assignment			META:TRANS-RXN0-0244				no_support		balanced	
rxn09306_c0	L-threonine  via sodium symport (periplasm)	cpd00161_e0 + cpd00971_e0 --> cpd00161_c0 + cpd00971_c0	False	c0,e0	generic_metabolism	KNOWN_LC6_GENE	contig_1_4136460_4135195	contig_1_4136460_4135195	contig_1_4136460_4135195	contig_locus_assignment			rxn09306				no_support		balanced	
rxn09317_c0	Trimethylamine N-oxide transport via diffusion (extracellular to periplasm)	cpd00811_c0 <=> cpd00811_e0	True	c0,e0	generic_metabolism	ORPHAN_REACTION		ORPHAN	ORPHAN	ORPHAN			rxn09317				no_support		balanced	
rxn09388_c0	Zn2+-exporting ATPase	cpd00001_c0 + cpd00002_c0 + cpd00034_c0 --> cpd00008_c0 + cpd00009_c0 + cpd00034_e0 + cpd00067_c0	False	c0,e0	generic_metabolism	KNOWN_LC6_GENE	contig_1_2497446_2495722 or contig_1_2600379_2597974 or contig_1_3277898_3275655 or contig_1_3849349_3847445	contig_1_2497446_2495722	contig_1_2497446_2495722	contig_locus_assignment			META:RXN0-5205				no_support		balanced	
rxn09389_c0	TRANS-RXN0-200.cp	cpd00034_c0 + 2.0 cpd00067_e0 <=> cpd00034_e0 + 2.0 cpd00067_c0	True	c0,e0	generic_metabolism	KNOWN_LC6_GENE	contig_1_1309155_1312247 or contig_1_2459430_2462597 or contig_1_3079847_3076827 or contig_1_344482_345369 or contig_1_4502608_4499525 or contig_1_4572190_4570700 or contig_1_4919341_4916243 or contig_1_4943076_4946057 or contig_2_145014_148094	contig_1_1309155_1312247	contig_1_1309155_1312247	contig_locus_assignment			META:TRANS-RXN0-200				no_support		balanced	
rxn09399_c0	1,4-alpha-glucan branching enzyme	cpd11735_c0 <=> cpd00155_c0	True	c0	generic_metabolism	KNOWN_LC6_GENE	contig_1_3497595_3495382	contig_1_3497595_3495382	contig_1_3497595_3495382	contig_locus_assignment	2.4.1.18		rxn09399				no_support		balanced	
rxn09427_c0	fatty-acyl-CoA synthase (n-C18:0CoA)	2.0 cpd00005_c0 + 3.0 cpd00067_c0 + cpd00070_c0 + cpd00134_c0 --> cpd00001_c0 + 2.0 cpd00006_c0 + cpd00010_c0 + cpd00011_c0 + cpd00327_c0	False	c0	generic_metabolism	ORPHAN_REACTION		ORPHAN	ORPHAN	ORPHAN			rxn09427				no_support		balanced	
rxn09444_c0	octanoyl-CoA ligase	cpd00002_c0 + cpd00010_c0 + cpd03846_c0 --> cpd00012_c0 + cpd00018_c0 + cpd00067_c0 + cpd01335_c0	False	c0	generic_metabolism	KNOWN_LC6_GENE	contig_1_2371188_2372846	contig_1_2371188_2372846	contig_1_2371188_2372846	contig_locus_assignment	6.2.1.3		META:R223-RXN				no_support		balanced	
rxn09447_c0	fatty-acid--CoA ligase (octadecynoate)	cpd00002_c0 + cpd00010_c0 + cpd15270_c0 --> cpd00012_c0 + cpd00018_c0 + cpd15272_c0	False	c0	generic_metabolism	KNOWN_LC6_GENE	contig_1_2371188_2372846	contig_1_2371188_2372846	contig_1_2371188_2372846	contig_locus_assignment	6.2.1.3		rxn09447				no_support		balanced	
rxn09449_c0	acyl-coenzyme A ligase	cpd00002_c0 + cpd00010_c0 + cpd01080_c0 --> cpd00012_c0 + cpd00018_c0 + cpd00067_c0 + cpd00327_c0	False	c0	generic_metabolism	KNOWN_LC6_GENE	contig_1_2371188_2372846	contig_1_2371188_2372846	contig_1_2371188_2372846	contig_locus_assignment	6.2.1.3		META:RXN-16380				no_support		balanced	
rxn09452_c0	acyl-coenzyme A ligase	cpd00002_c0 + cpd00010_c0 + cpd01741_c0 --> cpd00012_c0 + cpd00018_c0 + cpd00067_c0 + cpd01260_c0	False	c0	generic_metabolism	KNOWN_LC6_GENE	contig_1_2371188_2372846	contig_1_2371188_2372846	contig_1_2371188_2372846	contig_locus_assignment	6.2.1.3		META:RXN-16393				no_support		balanced	
rxn09453_c0	RXN-13614.c	cpd00002_c0 + cpd00010_c0 + cpd01107_c0 --> cpd00012_c0 + cpd00018_c0 + cpd00067_c0 + cpd03128_c0	False	c0	generic_metabolism	KNOWN_LC6_GENE	contig_1_2371188_2372846	contig_1_2371188_2372846	contig_1_2371188_2372846	contig_locus_assignment	6.2.1.3		META:RXN-13614				no_support		balanced	
rxn09456_c0	R08163	cpd00001_c0 + cpd15268_c0 --> cpd00067_c0 + cpd01080_c0 + cpd11493_c0	False	c0	generic_metabolism	ORPHAN_REACTION		ORPHAN	ORPHAN	ORPHAN	3.1.2.14		rxn09456				no_support		balanced	
rxn09516_c0	nucleoside triphosphate phosphohydrolase	cpd00001_c0 + cpd00241_c0 --> cpd00009_c0 + cpd00067_c0 + cpd00295_c0	False	c0	generic_metabolism	ORPHAN_REACTION		ORPHAN	ORPHAN	ORPHAN	3.6.1.15		META:RXN-14217				no_support		balanced	
rxn09517_c0	NDPase	cpd00001_c0 + cpd00295_c0 --> cpd00009_c0 + 2.0 cpd00067_c0 + cpd00296_c0	False	c0	generic_metabolism	ORPHAN_REACTION		ORPHAN	ORPHAN	ORPHAN	3.6.1.6		META:RXN-14218				no_support		balanced	
rxn09523_c0	Complex I dehydrogenase	cpd00004_c0 + cpd00067_c0 + cpd15290_c0 --> cpd00003_c0 + cpd15291_c0	False	c0	generic_metabolism	KNOWN_LC6_GENE	contig_1_4085374_4086915	contig_1_4085374_4086915	contig_1_4085374_4086915	contig_locus_assignment	7.1.1.2; 1.6.5.3		rxn09523				no_support		balanced	
rxn09655_c0	TRANS-RXNAVI-26524.ce.brachyexp.TREHALOSE_TREHALOSE	cpd00067_e0 + cpd00794_e0 <=> cpd00067_c0 + cpd00794_c0	True	c0,e0	generic_metabolism	KNOWN_LC6_GENE	contig_1_2907227_2906028	contig_1_2907227_2906028	contig_1_2907227_2906028	contig_locus_assignment			rxn09655				no_support		balanced	
