"ID","Dye","YC","DIC","ET","Decol","OD600","replica_id"
"140124","DB",1,0.6,48,56.9078947368421,NA,3
"271023_2","DB",3,0.1,0,0,NA,1
"271023_2","DB",3,0.1,4,0,NA,1
"271023_2","DB",3,0.1,8,27.7777777777778,NA,1
"271023_2","DB",3,0.1,12,75.5225522552255,NA,1
"271023_2","DB",3,0.1,16,94.3894389438944,NA,1
"271023_2","DB",3,0.1,20,96.2596259625962,NA,1
"271023_2","DB",3,0.1,24,100,NA,1
"271023_2","DB",3,0.1,28,97.6897689768977,NA,1
"271023_2","DB",3,0.1,32,97.0847084708471,NA,1
"271023_2","DB",3,0.1,0,0,NA,2
"271023_2","DB",3,0.1,4,1.71306209850107,NA,2
"271023_2","DB",3,0.1,8,30.6745182012848,NA,2
"271023_2","DB",3,0.1,12,79.7109207708779,NA,2
"271023_2","DB",3,0.1,16,95.5567451820128,NA,2
"271023_2","DB",3,0.1,20,97.0556745182013,NA,2
"271023_2","DB",3,0.1,24,100,NA,2
"271023_2","DB",3,0.1,28,97.0556745182013,NA,2
"271023_2","DB",3,0.1,32,97.5374732334047,NA,2
"010224","DB",3,0.4,0,NA,0.016,1
"010224","DB",3,0.4,6,NA,0.143,1
"010224","DB",3,0.4,8,NA,0.193,1
"010224","DB",3,0.4,9,NA,0.226,1
"010224","DB",3,0.4,10,NA,0.249,1
"010224","DB",3,0.4,11,NA,0.302,1
"010224","DB",3,0.4,15,NA,0.331,1
"010224","DB",3,0.4,17,NA,0.318,1
"010224","DB",3,0.4,22,NA,0.356,1
"010224","DB",3,0.4,24,NA,0.362,1
"010224","DB",3,0.4,24.5,NA,0.366,1
"010224","DB",3,0.4,0,NA,0.017,2
"010224","DB",3,0.4,6,NA,0.142,2
"010224","DB",3,0.4,8,NA,0.196,2
"010224","DB",3,0.4,9,NA,0.231,2
"010224","DB",3,0.4,10,NA,0.296,2
"010224","DB",3,0.4,11,NA,0.312,2
"010224","DB",3,0.4,15,NA,0.32,2
"010224","DB",3,0.4,17,NA,0.332,2
"010224","DB",3,0.4,22,NA,0.346,2
"010224","DB",3,0.4,24,NA,0.36,2
"010224","DB",3,0.4,24.5,NA,0.363,2
